Valuation,Funding,Company,Country,ROI
4000000000.0,1000000.0,Zapier,United States,399900.0
9000000000.0,71000000.0,Dunamu,South Korea,12600.0
1000000000.0,9000000.0,Workhuman,Ireland,11000.0
2000000000.0,19000000.0,CFGI,United States,10400.0
1000000000.0,10000000.0,Manner,China,9900.0
8000000000.0,105000000.0,DJI Innovations,China,7500.0
1000000000.0,14000000.0,GalaxySpace,China,7000.0
40000000000.0,572000000.0,Canva,Australia,6900.0
2000000000.0,29000000.0,Il Makiage,United States,6800.0
1000000000.0,15000000.0,Revolution Precrafted,Philippines,6600.0
